number,available_bikes,available_bikes_stands,last_update
42,18,12,1613822032000
42,18,12,1613822032000
42,18,12,1613822032000
42,18,12,1613822032000
30,0,20,1613822498000
54,2,31,1613822260000
108,14,26,1613822569000
56,6,34,1613822200000
6,1,19,1613822436000
18,17,13,1613822585000
32,9,21,1613822177000
52,19,13,1613822559000
48,17,23,1613822360000
13,6,24,1613822157000
43,10,20,1613822368000
31,19,1,1613822290000
98,4,36,1613822052000
23,12,18,1613822104000
106,13,27,1613822146000
112,2,28,1613822187000
68,5,35,1613822404000
74,17,13,1613822414000
87,8,30,1613822160000
84,8,22,1613822458000
90,12,28,1613822114000
11,9,21,1613822189000
17,5,15,1613822022000
45,2,28,1613822078000
114,1,39,1613822528000
72,16,15,1613822221000
63,10,25,1613822212000
113,4,36,1613822549000
91,15,15,1613822558000
99,6,24,1613822481000
9,16,8,1613822428000
67,15,25,1613822168000
116,8,22,1613822465000
55,7,29,1613822186000
62,0,40,1613822058000
5,27,13,1613822461000
97,8,32,1613822338000
61,17,8,1613822584000
77,9,20,1613822281000
73,14,16,1613822274000
4,8,12,1613822122000
49,16,24,1613822579000
19,3,27,1613822349000
7,14,10,1613822433000
102,15,25,1613822012000
38,27,13,1613822186000
53,11,29,1613822367000
58,20,20,1613822187000
66,0,40,1613822463000
104,4,36,1613822259000
101,13,17,1613822410000
115,29,1,1613822147000
47,7,33,1613822083000
117,5,35,1613822276000
8,6,24,1613822314000
27,14,6,1613822240000
16,4,16,1613822460000
96,7,23,1613822059000
82,15,7,1613822408000
76,16,22,1613822494000
71,14,26,1613822323000
79,6,21,1613822573000
69,17,23,1613822247000
25,13,17,1613822011000
51,5,35,1613822425000
37,1,29,1613822371000
59,10,10,1613822609000
95,22,18,1613822506000
94,5,35,1613822041000
105,6,30,1613822269000
36,9,31,1613822075000
93,17,23,1613822042000
22,10,10,1613822043000
50,20,20,1613822597000
110,8,32,1613822091000
12,3,17,1613822411000
34,21,9,1613822494000
78,15,24,1613822313000
2,13,7,1613822250000
75,1,39,1613822016000
111,29,11,1613822464000
26,11,9,1613822188000
65,20,20,1613822535000
15,14,2,1613822400000
86,12,26,1613822519000
10,10,6,1613822565000
100,19,6,1613822024000
24,14,6,1613822477000
64,11,29,1613822615000
109,22,7,1613822046000
85,22,13,1613822323000
107,11,29,1613822530000
33,15,8,1613822514000
44,7,23,1613822033000
89,5,35,1613822415000
57,3,20,1613822487000
80,24,16,1613822137000
41,12,8,1613822295000
3,1,19,1613822341000
40,2,19,1613822597000
29,11,18,1613822324000
103,15,25,1613822394000
28,11,19,1613822122000
39,0,20,1613822411000
83,14,26,1613822061000
92,26,14,1613822377000
21,4,26,1613822435000
88,20,10,1613822408000
42,19,11,1613823153000
30,0,20,1613823104000
54,2,31,1613823476000
108,14,26,1613823184000
56,6,34,1613823258000
6,1,19,1613823042000
18,17,13,1613823193000
32,9,21,1613823396000
52,19,13,1613823167000
48,15,25,1613823485000
13,6,24,1613823374000
43,10,20,1613822974000
31,20,0,1613823358000
98,5,35,1613823409000
23,12,18,1613823317000
106,13,27,1613823362000
112,2,28,1613823398000
68,6,34,1613823436000
74,17,13,1613823023000
87,9,29,1613823034000
84,8,22,1613823064000
90,12,28,1613823332000
11,9,21,1613823407000
17,5,15,1613823234000
45,3,27,1613823470000
114,1,39,1613823137000
72,17,14,1613823496000
63,10,25,1613823431000
113,4,36,1613823158000
91,16,14,1613823436000
99,5,25,1613823252000
9,19,5,1613823209000
67,15,25,1613823188000
116,7,23,1613823025000
55,7,29,1613823402000
62,0,40,1613823276000
5,27,13,1613823068000
97,7,33,1613823418000
61,17,8,1613823193000
77,10,19,1613823312000
73,14,16,1613823490000
4,8,12,1613823340000
49,16,24,1613823185000
19,1,29,1613823214000
7,14,10,1613823039000
102,15,25,1613823228000
38,27,13,1613823404000
53,11,29,1613822973000
58,21,19,1613823255000
66,0,40,1613823069000
104,4,36,1613823478000
101,13,17,1613823019000
115,29,1,1613823358000
47,7,33,1613823295000
117,5,35,1613823492000
8,6,24,1613822996000
27,15,5,1613823465000
16,4,16,1613823068000
96,7,23,1613823271000
82,15,7,1613823014000
76,16,22,1613823103000
71,13,27,1613823330000
79,6,21,1613823182000
69,18,22,1613823471000
25,13,17,1613823252000
51,5,35,1613823034000
37,1,29,1613822976000
59,10,10,1613823217000
95,22,18,1613823113000
94,5,35,1613823253000
105,6,30,1613823487000
36,8,32,1613822915000
93,17,23,1613823254000
22,10,10,1613823262000
50,19,21,1613823037000
110,8,32,1613823309000
12,2,18,1613823353000
34,21,9,1613823406000
78,15,24,1613822919000
2,12,8,1613823007000
75,1,39,1613823228000
111,29,11,1613823073000
26,11,9,1613823400000
65,20,20,1613823141000
15,15,1,1613823023000
86,12,26,1613823125000
10,10,6,1613823171000
100,19,6,1613823236000
24,14,6,1613823085000
64,12,28,1613823064000
109,23,6,1613823249000
85,21,14,1613823509000
107,11,29,1613823139000
33,14,9,1613823514000
44,8,22,1613823246000
89,5,35,1613823023000
57,3,20,1613823097000
80,23,17,1613823490000
41,12,8,1613823511000
3,1,19,1613822948000
40,2,19,1613823205000
29,11,18,1613822932000
103,15,25,1613823003000
28,12,18,1613823010000
39,0,20,1613823019000
83,14,26,1613823274000
92,26,14,1613823098000
21,4,26,1613823041000
88,20,10,1613823017000
